pred_Dropout,pred_Enrolled,pred_Graduate,true
0.9486162,0.01898305,0.032400753,Dropout
0.7988196,0.052758586,0.14842178,Dropout
0.3547306,0.54595894,0.09931051,Dropout
0.10556709,0.34210902,0.5523239,Graduate
0.04150943,0.027807627,0.9306829,Graduate
0.13864212,0.09008639,0.7712714,Graduate
0.74313706,0.0810155,0.17584744,Graduate
0.098348,0.07794215,0.82370985,Graduate
0.9466661,0.020564714,0.032769166,Dropout
0.94740415,0.01998228,0.03261357,Dropout
0.9490192,0.01863366,0.032347124,Dropout
0.94856036,0.01889948,0.03254014,Dropout
0.21744311,0.64791274,0.13464412,Enrolled
0.82609993,0.06921631,0.10468371,Dropout
0.85294175,0.09963334,0.047424827,Dropout
0.032128733,0.025477773,0.9423935,Graduate
0.6746725,0.26492533,0.06040215,Dropout
0.04599546,0.045255844,0.9087487,Graduate
0.14693974,0.19228812,0.66077214,Graduate
0.039377958,0.030127028,0.930495,Graduate
0.9154459,0.045333922,0.03922018,Dropout
0.77344126,0.07301864,0.15354006,Dropout
0.056674726,0.12504727,0.8182781,Graduate
0.054052882,0.14161491,0.8043322,Graduate
0.09284853,0.23147306,0.67567843,Enrolled
0.030571507,0.02099746,0.94843096,Graduate
0.02971201,0.024692386,0.94559556,Graduate
0.25489745,0.6511024,0.09400017,Enrolled
0.949314,0.018388849,0.032297134,Dropout
0.9493138,0.018364875,0.032321364,Dropout
0.9491495,0.01849829,0.032352213,Dropout
0.04176565,0.050661203,0.9075731,Dropout
0.10464572,0.556,0.33935425,Graduate
0.17261814,0.75371605,0.073665835,Enrolled
0.045199055,0.058003932,0.89679706,Graduate
0.039603632,0.038772725,0.92162365,Graduate
0.8444654,0.106955156,0.048579413,Enrolled
0.05360706,0.09520657,0.85118634,Graduate
0.03490278,0.039878707,0.9252185,Graduate
0.040617477,0.043149274,0.9162332,Graduate
0.03312118,0.03824007,0.9286387,Graduate
0.030079918,0.019213641,0.9507064,Graduate
0.16294338,0.72373265,0.11332395,Enrolled
0.90719134,0.05346494,0.039343726,Dropout
0.0504094,0.078811504,0.8707791,Graduate
0.02986048,0.020134028,0.9500055,Graduate
0.93149245,0.032997817,0.03550971,Dropout
0.9440111,0.021840367,0.034148544,Dropout
0.07624806,0.5043023,0.4194496,Enrolled
0.02936272,0.025397599,0.94523966,Graduate
0.03956443,0.068797134,0.89163834,Graduate
0.029793438,0.023293478,0.94691306,Graduate
0.9121463,0.0482785,0.039575163,Dropout
0.03716412,0.040270306,0.9225656,Graduate
0.7233542,0.1154634,0.16118243,Dropout
0.21583685,0.67607534,0.108087845,Enrolled
0.20292512,0.6691083,0.12796661,Enrolled
0.05196393,0.034427695,0.91360843,Graduate
0.94626105,0.020746402,0.032992557,Dropout
0.04905816,0.14633703,0.8046048,Graduate
0.035540175,0.050196633,0.9142631,Graduate
0.032908022,0.028204167,0.9388878,Graduate
0.9483168,0.019053284,0.032629877,Dropout
0.20085035,0.58586633,0.2132833,Dropout
0.1514081,0.79479,0.0538019,Enrolled
0.91122305,0.049218252,0.03955869,Dropout
0.034958567,0.039024383,0.9260171,Graduate
0.7050106,0.06846493,0.22652443,Dropout
0.030661587,0.028324552,0.9410139,Graduate
0.12153256,0.77846575,0.10000173,Enrolled
0.9398997,0.026424805,0.03367554,Dropout
0.9084469,0.052255426,0.039297685,Enrolled
0.16879986,0.65251374,0.17868644,Graduate
0.94969577,0.018007364,0.03229684,Dropout
0.21015325,0.19950233,0.5903444,Graduate
0.9467731,0.020216417,0.033010446,Dropout
0.06613299,0.12057704,0.81329,Graduate
0.04822446,0.07181208,0.87996346,Graduate
0.94929266,0.018140316,0.032567013,Dropout
0.054756388,0.116706766,0.82853687,Graduate
0.07350915,0.06724577,0.85924506,Graduate
0.03748695,0.05155207,0.910961,Graduate
0.1013025,0.049935836,0.8487617,Graduate
0.22498396,0.65370035,0.1213157,Enrolled
0.37655017,0.27962768,0.34382212,Enrolled
0.9471667,0.020119661,0.032713644,Dropout
