iter	Passed	Remaining
0	16	17047
1	31	16892
2	46	16235
3	60	16057
4	76	16135
5	91	16139
6	106	16072
7	121	15955
8	134	15709
9	149	15645
10	164	15720
11	180	15765
12	195	15710
13	211	15797
14	226	15801
15	244	15961
16	269	16522
17	293	16963
18	317	17382
19	343	17882
20	369	18294
21	397	18777
22	413	18624
23	429	18542
24	446	18501
25	465	18526
26	484	18540
27	499	18406
28	513	18244
29	527	18113
30	542	18004
31	556	17880
32	572	17801
33	586	17686
34	600	17584
35	614	17485
36	631	17461
37	649	17463
38	664	17391
39	678	17304
40	692	17203
41	706	17119
42	720	17051
43	736	17006
44	749	16906
45	764	16859
46	778	16777
47	793	16736
48	809	16699
49	823	16643
50	841	16641
51	857	16619
52	873	16599
53	888	16561
54	903	16508
55	917	16452
56	931	16391
57	945	16339
58	961	16306
59	976	16279
60	991	16236
61	1007	16212
62	1021	16157
63	1035	16119
64	1050	16084
65	1066	16063
66	1082	16042
67	1097	16013
68	1112	15971
69	1125	15923
70	1140	15881
71	1154	15840
72	1167	15785
73	1182	15753
74	1197	15732
75	1215	15741
76	1232	15730
77	1254	15798
78	1278	15872
79	1298	15903
80	1316	15905
81	1350	16103
82	1372	16157
83	1396	16222
84	1418	16272
85	1437	16284
86	1459	16327
87	1481	16358
88	1497	16341
89	1515	16335
90	1532	16313
91	1549	16300
92	1565	16279
93	1584	16284
94	1604	16302
95	1622	16289
96	1641	16292
97	1662	16315
98	1679	16302
99	1701	16338
100	1722	16351
101	1742	16367
102	1766	16409
103	1786	16423
104	1813	16492
105	1835	16520
106	1859	16565
107	1887	16633
108	1913	16695
109	1948	16829
110	1981	16944
111	2017	17079
112	2045	17138
113	2066	17151
114	2085	17139
115	2102	17112
116	2120	17093
117	2137	17060
118	2153	17032
119	2172	17019
120	2191	17003
121	2208	16976
122	2224	16943
123	2240	16913
124	2256	16876
125	2270	16828
126	2285	16789
127	2299	16739
128	2315	16711
129	2331	16676
130	2345	16633
131	2362	16608
132	2380	16589
133	2398	16575
134	2418	16573
135	2439	16573
136	2475	16678
137	2506	16747
138	2530	16766
139	2552	16776
140	2572	16764
141	2596	16783
142	2620	16802
143	2643	16815
144	2673	16869
145	2698	16895
146	2724	16924
147	2758	16996
148	2785	17033
149	2827	17151
150	2859	17214
151	2884	17229
152	2914	17275
153	2953	17375
154	2984	17426
155	3031	17568
156	3063	17619
157	3082	17598
158	3102	17581
159	3126	17586
160	3145	17564
161	3165	17546
162	3185	17529
163	3202	17497
164	3219	17462
165	3238	17442
166	3257	17420
167	3275	17392
168	3292	17356
169	3307	17317
170	3326	17291
171	3346	17274
172	3369	17277
173	3387	17251
174	3412	17255
175	3431	17234
176	3457	17247
177	3477	17230
178	3498	17220
179	3525	17237
180	3551	17246
181	3580	17272
182	3613	17316
183	3643	17343
184	3661	17316
185	3682	17303
186	3713	17335
187	3739	17343
188	3768	17365
189	3801	17406
190	3836	17453
191	3871	17504
192	3919	17606
193	3946	17618
194	3982	17664
195	4010	17679
196	4041	17706
197	4068	17712
198	4096	17723
199	4117	17704
200	4136	17677
201	4154	17644
202	4181	17652
203	4210	17669
204	4237	17671
205	4268	17694
206	4292	17688
207	4313	17668
208	4334	17649
209	4353	17620
210	4376	17608
211	4396	17585
212	4424	17594
213	4445	17573
214	4467	17559
215	4488	17538
216	4520	17561
217	4546	17562
218	4567	17540
219	4588	17518
220	4607	17490
221	4632	17486
222	4654	17471
223	4675	17450
224	4690	17406
225	4706	17369
226	4728	17353
227	4749	17333
228	4800	17419
229	4825	17415
230	4857	17431
231	4892	17459
232	4927	17490
233	4959	17506
234	4986	17507
235	5022	17537
236	5068	17602
237	5093	17592
238	5111	17560
239	5132	17536
240	5146	17488
241	5158	17437
242	5174	17398
243	5197	17381
244	5213	17343
245	5235	17323
246	5262	17320
247	5278	17281
248	5294	17245
249	5314	17217
250	5337	17204
251	5364	17200
252	5381	17166
253	5396	17124
254	5418	17104
255	5443	17097
256	5468	17087
257	5496	17085
258	5520	17071
259	5546	17065
260	5566	17041
261	5593	17035
262	5622	17037
263	5649	17034
264	5672	17017
265	5694	16996
266	5712	16967
267	5732	16940
268	5748	16903
269	5766	16871
270	5784	16840
271	5805	16817
272	5823	16788
273	5844	16766
274	5861	16731
275	5883	16712
276	5901	16681
277	5918	16647
278	5934	16612
279	5952	16581
280	5967	16543
281	5986	16516
282	6005	16487
283	6021	16454
284	6037	16416
285	6054	16384
286	6071	16353
287	6090	16326
288	6104	16286
289	6124	16260
290	6139	16225
291	6160	16202
292	6176	16168
293	6196	16143
294	6212	16109
295	6232	16085
296	6251	16059
297	6268	16028
298	6287	16002
299	6307	15980
300	6329	15960
301	6350	15938
302	6368	15911
303	6387	15885
304	6409	15866
305	6433	15851
306	6456	15837
307	6481	15825
308	6503	15805
309	6527	15791
310	6550	15776
311	6574	15762
312	6604	15761
313	6628	15748
314	6652	15733
315	6672	15710
316	6694	15690
317	6715	15670
318	6737	15650
319	6758	15629
320	6776	15601
321	6798	15581
322	6815	15550
323	6832	15520
324	6850	15491
325	6867	15462
326	6885	15434
327	6902	15405
328	6917	15370
329	6934	15340
330	6951	15310
331	6965	15273
332	6983	15245
333	7000	15217
334	7018	15189
335	7036	15162
336	7054	15135
337	7076	15116
338	7096	15092
339	7119	15075
340	7140	15056
341	7162	15037
342	7183	15015
343	7206	14999
344	7226	14975
345	7243	14947
346	7259	14917
347	7277	14890
348	7292	14855
349	7309	14827
350	7331	14809
351	7358	14801
352	7398	14817
353	7422	14803
354	7447	14790
355	7474	14781
356	7496	14762
357	7516	14738
358	7533	14710
359	7551	14682
360	7567	14651
361	7581	14619
362	7599	14591
363	7615	14561
364	7634	14537
365	7651	14507
366	7674	14491
367	7691	14462
368	7714	14446
369	7741	14436
370	7765	14422
371	7790	14408
372	7817	14398
373	7844	14388
374	7875	14385
375	7900	14372
376	7922	14352
377	7945	14335
378	7960	14302
379	7980	14281
380	8000	14257
381	8017	14230
382	8039	14210
383	8059	14187
384	8082	14170
385	8101	14146
386	8120	14122
387	8140	14099
388	8160	14076
389	8179	14051
390	8198	14026
391	8220	14007
392	8240	13985
393	8260	13962
394	8274	13930
395	8294	13907
396	8316	13888
397	8335	13864
398	8353	13839
399	8368	13808
400	8387	13784
401	8404	13757
402	8422	13730
403	8442	13708
404	8460	13683
405	8475	13652
406	8491	13623
407	8510	13599
408	8526	13571
409	8545	13547
410	8561	13519
411	8575	13487
412	8589	13455
413	8610	13435
414	8625	13406
415	8642	13378
416	8659	13353
417	8676	13325
418	8691	13295
419	8704	13264
420	8724	13241
421	8741	13215
422	8757	13188
423	8775	13163
424	8796	13142
425	8816	13121
426	8835	13098
427	8853	13073
428	8871	13048
429	8890	13026
430	8916	13012
431	8941	12998
432	8970	12990
433	8992	12970
434	9010	12946
435	9029	12922
436	9046	12897
437	9067	12876
438	9089	12857
439	9109	12836
440	9132	12819
441	9150	12794
442	9169	12771
443	9187	12746
444	9200	12715
445	9219	12691
446	9234	12663
447	9246	12631
448	9259	12600
449	9279	12578
450	9297	12555
451	9313	12527
452	9334	12508
453	9351	12482
454	9368	12457
455	9385	12432
456	9400	12404
457	9414	12375
458	9429	12347
459	9443	12317
460	9458	12289
461	9472	12261
462	9486	12232
463	9500	12203
464	9520	12182
465	9534	12153
466	9548	12125
467	9562	12095
468	9576	12067
469	9590	12038
470	9601	12007
471	9616	11980
472	9639	11962
473	9661	11944
474	9683	11926
475	9720	11925
476	9749	11916
477	9784	11913
478	9826	11919
479	9854	11907
480	9878	11890
481	9909	11883
482	9936	11870
483	9952	11843
484	9968	11818
485	9980	11787
486	9993	11758
487	10006	11728
488	10023	11704
489	10038	11676
490	10057	11655
491	10077	11634
492	10095	11611
493	10115	11590
494	10137	11570
495	10155	11547
496	10173	11524
497	10189	11498
498	10205	11473
499	10221	11447
500	10235	11420
501	10250	11393
502	10266	11368
503	10282	11343
504	10295	11314
505	10309	11287
506	10324	11261
507	10339	11234
508	10353	11207
509	10367	11180
510	10378	11150
511	10393	11124
512	10407	11097
513	10422	11071
514	10438	11046
515	10452	11019
516	10466	10993
517	10481	10967
518	10496	10941
519	10514	10919
520	10533	10897
521	10548	10871
522	10562	10845
523	10577	10819
524	10590	10791
525	10606	10768
526	10622	10743
527	10636	10716
528	10650	10690
529	10668	10668
530	10687	10647
531	10713	10633
532	10741	10620
533	10775	10613
534	10796	10594
535	10820	10578
536	10842	10559
537	10859	10536
538	10878	10515
539	10894	10491
540	10920	10476
541	10938	10453
542	10957	10432
543	10976	10411
544	10995	10390
545	11016	10371
546	11036	10350
547	11057	10331
548	11077	10310
549	11095	10288
550	11125	10277
551	11159	10269
552	11181	10251
553	11200	10229
554	11222	10211
555	11240	10189
556	11267	10175
557	11290	10157
558	11311	10137
559	11329	10115
560	11348	10093
561	11370	10075
562	11385	10050
563	11403	10028
564	11419	10004
565	11435	9980
566	11452	9957
567	11471	9936
568	11488	9913
569	11504	9889
570	11521	9866
571	11537	9843
572	11556	9822
573	11571	9797
574	11587	9773
575	11603	9750
576	11618	9725
577	11632	9700
578	11647	9676
579	11662	9651
580	11677	9627
581	11695	9605
582	11713	9583
583	11726	9557
584	11745	9537
585	11762	9514
586	11778	9491
587	11796	9469
588	11815	9448
589	11832	9425
590	11847	9402
591	11863	9378
592	11877	9353
593	11891	9329
594	11908	9306
595	11923	9282
596	11938	9258
597	11954	9235
598	11969	9211
599	11982	9186
600	12000	9165
601	12015	9141
602	12029	9117
603	12044	9093
604	12059	9069
605	12075	9046
606	12092	9024
607	12111	9003
608	12125	8979
609	12138	8954
610	12154	8932
611	12170	8909
612	12182	8883
613	12198	8860
614	12213	8837
615	12225	8812
616	12239	8787
617	12251	8762
618	12264	8737
619	12274	8711
620	12287	8686
621	12301	8662
622	12314	8638
623	12325	8612
624	12340	8588
625	12351	8563
626	12363	8537
627	12375	8512
628	12388	8488
629	12402	8465
630	12414	8440
631	12429	8417
632	12446	8396
633	12463	8374
634	12480	8353
635	12498	8332
636	12515	8310
637	12533	8290
638	12549	8267
639	12564	8245
640	12577	8221
641	12593	8199
642	12607	8176
643	12619	8151
644	12632	8127
645	12646	8104
646	12657	8079
647	12668	8054
648	12681	8030
649	12694	8007
650	12707	7983
651	12718	7959
652	12730	7934
653	12743	7911
654	12754	7886
655	12766	7862
656	12777	7837
657	12789	7813
658	12800	7789
659	12813	7765
660	12825	7742
661	12838	7718
662	12850	7694
663	12864	7672
664	12875	7647
665	12888	7624
666	12901	7601
667	12912	7577
668	12923	7553
669	12935	7529
670	12948	7506
671	12960	7483
672	12972	7459
673	12984	7435
674	12997	7413
675	13008	7389
676	13021	7366
677	13037	7345
678	13052	7323
679	13064	7300
680	13080	7279
681	13096	7258
682	13111	7237
683	13127	7216
684	13143	7195
685	13154	7171
686	13169	7150
687	13184	7129
688	13197	7106
689	13213	7085
690	13226	7063
691	13241	7041
692	13253	7018
693	13267	6996
694	13284	6976
695	13301	6956
696	13315	6934
697	13330	6913
698	13345	6892
699	13360	6871
700	13374	6849
701	13388	6827
702	13402	6806
703	13416	6784
704	13431	6763
705	13445	6741
706	13459	6720
707	13471	6697
708	13487	6677
709	13501	6655
710	13513	6633
711	13527	6611
712	13541	6590
713	13556	6569
714	13567	6546
715	13581	6525
716	13595	6503
717	13606	6481
718	13619	6459
719	13634	6438
720	13645	6415
721	13658	6394
722	13671	6372
723	13684	6350
724	13698	6329
725	13712	6308
726	13725	6286
727	13740	6266
728	13755	6245
729	13767	6223
730	13783	6203
731	13797	6182
732	13810	6161
733	13823	6139
734	13838	6119
735	13854	6098
736	13868	6078
737	13885	6058
738	13903	6039
739	13919	6019
740	13936	5999
741	13950	5978
742	13965	5958
743	13981	5938
744	13996	5918
745	14010	5897
746	14026	5877
747	14043	5857
748	14059	5837
749	14079	5819
750	14095	5799
751	14109	5778
752	14125	5758
753	14141	5739
754	14155	5718
755	14170	5698
756	14186	5678
757	14200	5657
758	14219	5638
759	14236	5619
760	14250	5599
761	14265	5578
762	14282	5559
763	14297	5539
764	14313	5519
765	14329	5499
766	14346	5480
767	14360	5460
768	14376	5440
769	14391	5420
770	14403	5399
771	14418	5379
772	14435	5359
773	14449	5339
774	14464	5319
775	14479	5299
776	14495	5279
777	14510	5259
778	14524	5239
779	14536	5218
780	14548	5197
781	14561	5176
782	14576	5156
783	14589	5135
784	14601	5115
785	14616	5095
786	14629	5074
787	14642	5054
788	14653	5032
789	14665	5012
790	14680	4992
791	14694	4972
792	14710	4953
793	14726	4933
794	14740	4913
795	14751	4892
796	14769	4873
797	14787	4855
798	14805	4836
799	14821	4816
800	14838	4798
801	14854	4778
802	14868	4758
803	14882	4738
804	14894	4718
805	14907	4697
806	14921	4677
807	14932	4657
808	14944	4636
809	14957	4616
810	14974	4597
811	14989	4578
812	15003	4558
813	15018	4538
814	15031	4518
815	15046	4499
816	15061	4479
817	15074	4459
818	15087	4439
819	15101	4419
820	15113	4399
821	15127	4380
822	15141	4360
823	15152	4339
824	15168	4320
825	15182	4301
826	15194	4280
827	15205	4260
828	15220	4241
829	15232	4221
830	15247	4201
831	15263	4182
832	15278	4163
833	15292	4143
834	15308	4125
835	15328	4107
836	15343	4087
837	15360	4069
838	15378	4050
839	15393	4031
840	15408	4012
841	15423	3993
842	15438	3973
843	15451	3954
844	15465	3934
845	15478	3915
846	15491	3895
847	15505	3876
848	15520	3857
849	15533	3837
850	15544	3817
851	15557	3797
852	15569	3778
853	15582	3758
854	15596	3739
855	15608	3719
856	15621	3700
857	15633	3680
858	15645	3660
859	15659	3641
860	15672	3622
861	15685	3603
862	15698	3583
863	15712	3564
864	15725	3545
865	15739	3525
866	15751	3506
867	15764	3487
868	15778	3467
869	15790	3448
870	15805	3429
871	15818	3410
872	15829	3390
873	15841	3371
874	15852	3351
875	15865	3332
876	15876	3312
877	15888	3293
878	15899	3273
879	15912	3254
880	15924	3235
881	15938	3216
882	15951	3197
883	15965	3178
884	15978	3159
885	15990	3140
886	16003	3121
887	16018	3102
888	16030	3083
889	16042	3064
890	16056	3045
891	16070	3026
892	16083	3007
893	16097	2988
894	16110	2970
895	16123	2951
896	16136	2932
897	16148	2913
898	16161	2894
899	16173	2875
900	16184	2856
901	16197	2837
902	16211	2818
903	16223	2799
904	16235	2780
905	16248	2761
906	16261	2743
907	16274	2724
908	16284	2705
909	16296	2686
910	16309	2667
911	16321	2648
912	16334	2630
913	16348	2611
914	16361	2592
915	16374	2574
916	16387	2555
917	16400	2536
918	16413	2518
919	16425	2499
920	16437	2480
921	16449	2462
922	16462	2443
923	16475	2424
924	16488	2406
925	16500	2387
926	16513	2369
927	16526	2350
928	16539	2332
929	16553	2313
930	16568	2295
931	16581	2277
932	16594	2258
933	16609	2240
934	16623	2222
935	16634	2203
936	16647	2185
937	16661	2167
938	16675	2148
939	16689	2130
940	16704	2112
941	16719	2094
942	16736	2076
943	16751	2058
944	16765	2040
945	16779	2022
946	16795	2004
947	16812	1986
948	16826	1968
949	16841	1950
950	16857	1932
951	16869	1913
952	16882	1895
953	16895	1877
954	16906	1858
955	16917	1840
956	16930	1822
957	16942	1803
958	16958	1786
959	16974	1768
960	16994	1750
961	17015	1733
962	17037	1716
963	17057	1698
964	17081	1681
965	17107	1664
966	17128	1647
967	17144	1629
968	17161	1611
969	17175	1593
970	17192	1575
971	17208	1557
972	17223	1540
973	17239	1522
974	17255	1504
975	17269	1486
976	17286	1468
977	17301	1450
978	17320	1433
979	17335	1415
980	17350	1397
981	17367	1379
982	17384	1361
983	17404	1344
984	17423	1326
985	17440	1308
986	17460	1291
987	17481	1273
988	17500	1256
989	17517	1238
990	17533	1220
991	17550	1203
992	17568	1185
993	17584	1167
994	17601	1149
995	17621	1132
996	17645	1115
997	17672	1097
998	17698	1080
999	17721	1063
1000	17750	1046
1001	17770	1028
1002	17785	1010
1003	17801	992
1004	17817	975
1005	17831	957
1006	17845	939
1007	17859	921
1008	17873	903
1009	17887	885
1010	17899	867
1011	17913	849
1012	17924	831
1013	17936	813
1014	17948	795
1015	17961	777
1016	17972	759
1017	17984	741
1018	17999	724
1019	18010	706
1020	18023	688
1021	18039	670
1022	18052	652
1023	18065	635
1024	18078	617
1025	18092	599
1026	18105	581
1027	18120	564
1028	18135	546
1029	18151	528
1030	18164	510
1031	18177	493
1032	18191	475
1033	18204	457
1034	18217	440
1035	18229	422
1036	18243	404
1037	18255	386
1038	18267	369
1039	18279	351
1040	18291	333
1041	18302	316
1042	18316	298
1043	18328	280
1044	18343	263
1045	18357	245
1046	18368	228
1047	18380	210
1048	18393	192
1049	18407	175
1050	18418	157
1051	18431	140
1052	18444	122
1053	18455	105
1054	18466	87
1055	18478	69
1056	18492	52
1057	18503	34
1058	18517	17
1059	18530	0
