pred_Dropout,pred_Enrolled,pred_Graduate,true
0.02319314,0.049243104,0.9275637,Graduate
0.003985754,0.02536355,0.97065073,Graduate
0.021348368,0.18320304,0.79544854,Graduate
0.27517477,0.6548493,0.06997592,Enrolled
0.0077246292,0.005405048,0.98687035,Graduate
0.008778525,0.022982797,0.9682387,Graduate
0.3921449,0.5365297,0.071325414,Enrolled
0.97773653,0.02162195,0.0006414987,Dropout
0.25735873,0.7133049,0.0293364,Enrolled
0.96612287,0.030500997,0.0033761365,Dropout
0.059037227,0.024932127,0.9160306,Graduate
0.003031691,0.002501138,0.99446714,Graduate
0.30235142,0.6250884,0.0725602,Graduate
0.035711825,0.46055508,0.5037331,Enrolled
0.97709525,0.0180883,0.0048164697,Dropout
0.013685347,0.11372191,0.8725927,Graduate
0.98762274,0.007886708,0.0044905855,Dropout
0.43327186,0.53946555,0.027262563,Enrolled
0.9030281,0.09373529,0.0032366198,Dropout
0.9756717,0.012776608,0.011551611,Dropout
0.017502433,0.033384733,0.9491129,Graduate
0.0050616134,0.004565035,0.9903734,Graduate
0.1185682,0.71736073,0.16407101,Graduate
0.66006094,0.33790985,0.0020291847,Dropout
0.013703863,0.085765004,0.9005312,Graduate
0.98394245,0.014075021,0.0019825995,Dropout
0.033895373,0.42969605,0.5364086,Graduate
0.9933308,0.006217649,0.00045161298,Dropout
0.9963703,0.0035411296,8.85325e-05,Dropout
0.95345885,0.043289877,0.0032513314,Dropout
0.9643345,0.029139025,0.006526451,Dropout
0.9960414,0.0037832877,0.00017524,Dropout
0.010676618,0.04221424,0.9471091,Graduate
0.12214425,0.49864623,0.3792095,Enrolled
0.120563164,0.68148607,0.19795078,Enrolled
0.98965865,0.0072770542,0.0030642846,Dropout
0.0073110457,0.0041556554,0.9885334,Graduate
0.0042431722,0.0052598123,0.990497,Graduate
0.0068796705,0.019569548,0.9735508,Graduate
0.7232179,0.23233502,0.04444709,Dropout
0.0063714082,0.0062426524,0.987386,Graduate
0.7545862,0.13376747,0.111646295,Dropout
0.98654246,0.013248522,0.00020904191,Dropout
0.10003972,0.21749856,0.68246174,Graduate
0.9889158,0.009578248,0.001505987,Dropout
0.074249,0.67976546,0.2459856,Enrolled
0.81476754,0.1722418,0.012990659,Dropout
0.03418885,0.8661971,0.09961406,Enrolled
0.06937375,0.17934121,0.751285,Graduate
0.7760936,0.20822911,0.015677255,Dropout
0.941579,0.056591824,0.0018292549,Dropout
0.017158287,0.03979307,0.9430486,Graduate
0.9892925,0.006411596,0.0042958665,Dropout
0.02069856,0.2017889,0.77751255,Dropout
0.15327245,0.8214972,0.025230376,Enrolled
0.0403755,0.43735674,0.52226776,Enrolled
0.0031639822,0.041894335,0.9549417,Graduate
0.6436585,0.27114868,0.08519286,Enrolled
0.013536844,0.012960814,0.9735023,Graduate
0.014117214,0.23280822,0.7530746,Graduate
0.010884416,0.0070429156,0.9820726,Graduate
0.020493036,0.041343857,0.9381631,Graduate
0.057127196,0.4434564,0.49941644,Graduate
0.020216437,0.020136222,0.9596474,Graduate
0.14922133,0.49031758,0.36046106,Graduate
0.99939656,0.0002990147,0.00030435968,Dropout
0.045818925,0.06671349,0.88746756,Graduate
0.005475438,0.022407448,0.9721172,Graduate
0.6131738,0.3851153,0.00171089,Dropout
0.9997501,0.00016523019,8.463618e-05,Dropout
0.03517591,0.015092492,0.9497316,Graduate
0.011547401,0.015898768,0.9725538,Graduate
