pred_Enrolled,pred_Graduate,pred_Dropout,true
0.010948498,0.008657341,0.9803941,Dropout
0.26067334,0.7101213,0.02920534,Enrolled
0.31082362,0.64773756,0.041438837,Graduate
0.5361862,0.046647303,0.4171665,Dropout
0.012562183,0.97923905,0.008198821,Graduate
0.10887987,0.87206304,0.019057142,Graduate
0.4910882,0.43200028,0.07691151,Enrolled
0.014325279,0.009391616,0.9762831,Dropout
0.4142689,0.50706387,0.078667216,Graduate
0.002928043,0.00068622606,0.9963857,Dropout
0.06423505,0.024536045,0.91122895,Dropout
0.011455504,0.0069959112,0.9815486,Dropout
0.009338318,0.0014362204,0.98922545,Dropout
0.0034796498,0.987242,0.009278358,Graduate
0.15362568,0.7734448,0.07292953,Graduate
0.06250346,0.91795504,0.019541567,Graduate
0.043298066,0.93738484,0.019317077,Graduate
0.014903768,0.97010875,0.014987434,Graduate
0.7005324,0.16486298,0.13460466,Enrolled
0.47743097,0.454769,0.06780004,Enrolled
0.009748197,0.0012000938,0.98905164,Dropout
0.746271,0.05722843,0.19650057,Enrolled
0.270467,0.6959096,0.033623375,Graduate
0.08601944,0.8619271,0.05205343,Graduate
0.8035443,0.098979406,0.09747631,Enrolled
0.1432311,0.002635262,0.85413367,Enrolled
0.2830698,0.01860143,0.69832885,Enrolled
0.0025978799,0.00011955468,0.9972825,Dropout
0.047969557,0.9395461,0.0124842925,Graduate
0.122212805,0.84393513,0.03385207,Graduate
0.007265875,0.98868304,0.004051113,Graduate
0.24679588,0.67357266,0.07963142,Graduate
0.26918083,0.6824979,0.04832127,Graduate
0.71655744,0.0295986,0.25384396,Enrolled
0.002662527,0.9881607,0.009176792,Graduate
0.07458299,0.90970635,0.01571068,Graduate
0.27513334,0.57190883,0.15295783,Enrolled
0.3987258,0.019560818,0.5817134,Dropout
0.26802674,0.65526533,0.07670792,Enrolled
0.06310458,0.0011776135,0.93571776,Dropout
0.043228548,0.0021110352,0.9546604,Dropout
0.4655304,0.4473103,0.08715935,Enrolled
0.00017785325,0.00012133905,0.9997008,Dropout
0.58608615,0.31355342,0.10036038,Dropout
0.24104783,0.49506745,0.26388472,Enrolled
0.057688054,0.9292131,0.013098875,Graduate
0.46377042,0.4586866,0.07754296,Graduate
0.020561678,0.9642406,0.015197667,Graduate
0.017758764,0.002786835,0.97945446,Dropout
0.5010638,0.4149731,0.083963074,Graduate
0.012157869,0.0011675421,0.9866746,Dropout
0.016727135,0.58316714,0.40010568,Graduate
0.21176052,0.5611554,0.22708409,Graduate
0.094500065,0.72996104,0.17553887,Graduate
0.59795535,0.024872202,0.37717247,Enrolled
0.037589785,0.952974,0.009436184,Graduate
0.9287297,0.025731077,0.04553921,Enrolled
0.06653329,0.8787138,0.054752894,Graduate
0.0778024,0.9072321,0.01496551,Graduate
0.044465594,0.9346393,0.020895112,Graduate
0.059436038,0.89481235,0.0457516,Graduate
0.16972616,0.76125497,0.06901886,Enrolled
0.49237373,0.37391424,0.13371198,Dropout
0.07554838,0.90948117,0.014970419,Graduate
0.0002861087,0.0013824664,0.9983315,Dropout
0.7111612,0.0108277295,0.27801102,Enrolled
0.051423706,0.016665222,0.9319111,Dropout
0.63569826,0.03822212,0.32607964,Dropout
0.7475885,0.053711303,0.19870012,Enrolled
0.3886554,0.004017935,0.6073267,Dropout
0.06477478,0.8971531,0.038072217,Graduate
0.0030859378,0.00025788698,0.9966562,Dropout
0.67955554,0.010188366,0.31025612,Enrolled
0.040554404,0.8953812,0.064064346,Dropout
0.08095586,0.0070957476,0.9119484,Dropout
0.41214317,0.068831526,0.5190253,Enrolled
0.008984214,0.98743933,0.0035764761,Graduate
0.67113173,0.15871398,0.17015429,Dropout
0.007784931,0.987225,0.004990085,Graduate
0.49732456,0.27143165,0.23124382,Enrolled
0.009256165,0.008527589,0.98221624,Dropout
0.093173176,0.8624039,0.04442292,Graduate
0.6506425,0.009372696,0.33998483,Dropout
0.08906204,0.004234921,0.90670305,Dropout
