pred_Dropout,pred_Enrolled,pred_Graduate,true
0.025952024,0.0398343,0.93421364,2
0.0050141355,0.01598838,0.9789975,2
0.020507697,0.13545285,0.8440394,2
0.306692,0.58871955,0.1045885,1
0.0069187605,0.008832379,0.9842488,2
0.013019638,0.03895046,0.9480299,2
0.4107503,0.48706776,0.102182,1
0.97482514,0.023253534,0.0019213961,0
0.3346622,0.63479495,0.03054286,1
0.94119316,0.05396672,0.004840164,0
0.06784457,0.02896447,0.9031909,2
0.0057973745,0.004911823,0.9892908,2
0.3250353,0.54618466,0.12878,2
0.041319165,0.41804153,0.54063934,1
0.96870595,0.023453394,0.007840634,0
0.012601228,0.104360566,0.8830382,2
0.9849525,0.0071093617,0.007938119,0
0.4413145,0.53720033,0.021485196,1
0.8915957,0.10498219,0.0034220854,0
0.9678228,0.012005803,0.020171417,0
0.015691966,0.03322089,0.9510872,2
0.0063158325,0.006462988,0.9872212,2
0.16025646,0.64038986,0.19935372,2
0.5811155,0.4144645,0.0044199997,0
0.018972348,0.12734522,0.85368246,2
0.9787516,0.018382378,0.0028659725,0
0.04022535,0.43178427,0.52799034,2
0.9880591,0.011063906,0.0008770276,0
0.99205506,0.007438947,0.0005060612,0
0.935177,0.061722916,0.0031000453,0
0.97749966,0.01649739,0.006002957,0
0.9959973,0.0036658114,0.00033692576,0
0.017082267,0.055938464,0.92697924,2
0.12464521,0.40776613,0.46758866,1
0.103336856,0.598327,0.29833618,1
0.98850423,0.007539259,0.0039565265,0
0.010007081,0.008505515,0.9814874,2
0.0048875115,0.0076347054,0.9874778,2
0.0052904026,0.024241257,0.97046834,2
0.6908034,0.27172536,0.03747122,0
0.0077962466,0.007836178,0.98436755,2
0.7914432,0.1027035,0.10585324,0
0.9846799,0.01473284,0.0005873389,0
0.12967926,0.3414395,0.52888125,2
0.98734933,0.010554011,0.00209658,0
0.05645568,0.6052099,0.3383344,1
0.87882715,0.10704756,0.014125351,0
0.039559837,0.88981235,0.07062783,1
0.08274165,0.20573689,0.7115215,2
0.7914453,0.19338402,0.015170616,0
0.9347037,0.06221464,0.0030815732,0
0.016422268,0.025594916,0.9579828,2
0.98292243,0.009851155,0.0072263647,0
0.02017337,0.17574814,0.8040785,0
0.20123376,0.7702619,0.02850438,1
0.061572395,0.48539978,0.45302784,1
0.005961685,0.037588548,0.9564498,2
0.70408624,0.23421094,0.061702847,1
0.0107220765,0.0149285225,0.97434944,2
0.01598965,0.19413133,0.78987896,2
0.01183826,0.0047881124,0.98337364,2
0.013352901,0.030538142,0.9561089,2
0.080350354,0.39864212,0.5210075,2
0.011161905,0.020516606,0.9683215,2
0.13528399,0.5158808,0.34883514,2
0.9986815,0.0006700199,0.00064850785,0
0.033580758,0.055018708,0.91140056,2
0.0054691737,0.01978877,0.9747421,2
0.57165474,0.4244683,0.0038769834,0
0.99936444,0.0004303481,0.00020519434,0
0.042952143,0.022892237,0.9341556,2
0.02003462,0.020389132,0.95957625,2
0.03828912,0.8047142,0.15699671,1
0.04861144,0.028867675,0.9225209,2
0.9993344,0.00038553626,0.0002801019,0
0.062495932,0.5989456,0.3385584,1
0.003637659,0.008591149,0.98777115,2
0.10100979,0.44247368,0.45651653,2
0.0082500195,0.012535115,0.9792149,2
0.0058620567,0.014968109,0.97916985,2
0.043622054,0.22483513,0.7315428,2
0.019957228,0.013736469,0.96630627,2
0.052448,0.25115928,0.6963927,2
0.04458081,0.11912192,0.8362973,2
0.9660661,0.012516892,0.021417052,0
0.2259108,0.70949656,0.06459261,1
0.122682236,0.26726967,0.6100481,2
0.7891223,0.20009711,0.010780597,0
0.059258632,0.07201636,0.86872494,0
0.009287021,0.01750732,0.9732056,2
0.0113839535,0.008810594,0.9798054,2
0.043407593,0.06732851,0.8892639,2
0.004589369,0.00532846,0.9900822,2
0.22635056,0.7245802,0.0490692,1
0.9990606,0.0005648558,0.0003745932,0
0.8745414,0.038264725,0.08719389,0
0.2481978,0.33566052,0.4161417,2
0.9557363,0.03147627,0.012787456,0
0.02121711,0.13096043,0.8478224,2
0.98895824,0.0101904655,0.00085131126,0
0.9879773,0.0051779957,0.006844739,0
0.8795811,0.11534295,0.0050759693,0
0.9194559,0.076607935,0.003936135,0
0.9848108,0.012454382,0.0027347442,0
0.084159836,0.5622322,0.35360795,1
0.9351033,0.04147008,0.023426553,0
0.08852927,0.50820535,0.40326536,2
0.95349383,0.01277306,0.03373315,0
0.9988875,0.00088750536,0.0002250508,0
0.007264193,0.017107418,0.9756284,2
0.0098136505,0.012646274,0.97754014,2
0.025676042,0.021089168,0.9532348,2
0.78497964,0.21088071,0.0041396576,0
0.052630704,0.03458865,0.9127806,2
0.022895329,0.060529616,0.9165751,2
0.6140052,0.38125983,0.004734966,0
0.11544449,0.7264948,0.15806071,1
0.103934444,0.1594004,0.7366651,1
0.027561255,0.12233408,0.85010463,2
0.08353632,0.8479799,0.068483815,1
0.03608308,0.22901034,0.73490655,1
0.9966605,0.0031160254,0.0002234911,0
0.050906885,0.16509648,0.78399664,2
0.96343875,0.032532535,0.004028723,0
0.12291059,0.7724449,0.10464447,1
0.00579391,0.016668258,0.9775378,2
0.04160659,0.046455022,0.9119384,2
0.01775706,0.03420278,0.9480401,2
0.06975317,0.06337423,0.86687255,1
0.068890825,0.09946615,0.83164304,1
0.1297093,0.71595603,0.15433466,1
0.0894951,0.08403267,0.8264722,2
0.6964145,0.29811713,0.005468414,0
0.016321812,0.018581292,0.96509695,2
0.2609845,0.033173278,0.7058422,2
0.014295143,0.024232851,0.96147203,2
0.006227822,0.023784773,0.9699874,2
0.5177187,0.4763725,0.0059088008,0
0.016899213,0.030308649,0.95279217,1
0.2661203,0.6893084,0.0445713,1
0.012965279,0.02808742,0.9589473,2
0.15266821,0.81684226,0.030489545,1
0.017173998,0.061268285,0.9215577,2
0.0365027,0.19872497,0.76477236,2
0.0074989004,0.02935316,0.96314794,2
0.017683052,0.10154114,0.88077575,2
0.99310654,0.0063933204,0.0005001252,0
0.99537945,0.004188204,0.0004323846,0
0.016858492,0.20800874,0.7751328,2
0.9846688,0.010805687,0.0045255185,0
0.0067323665,0.017764103,0.97550344,2
0.94323367,0.053062774,0.0037036128,0
0.95371866,0.042344302,0.0039370097,0
0.056223735,0.8136142,0.13016203,1
0.008250791,0.017651528,0.9740977,2
0.04977159,0.06935446,0.880874,2
0.021329755,0.06848068,0.9101895,2
0.90236586,0.09380533,0.0038287614,0
0.138708,0.09556393,0.76572806,1
0.075593784,0.12986109,0.7945451,2
0.013762043,0.07460678,0.9116312,2
0.9681957,0.024581151,0.007223214,0
0.18868196,0.6932651,0.11805297,1
0.002183986,0.0035170314,0.99429893,2
0.040497426,0.09582646,0.86367613,2
0.01156049,0.013435001,0.9750045,2
0.46223548,0.5321802,0.0055843503,0
0.4435205,0.45708916,0.09939042,1
0.014640184,0.20411502,0.78124475,2
0.017608374,0.12890664,0.853485,2
0.38734967,0.60708976,0.0055605704,0
0.13405053,0.76224047,0.10370902,1
0.025607254,0.07436425,0.9000285,2
0.006152508,0.016796226,0.9770513,2
0.013172019,0.039405353,0.9474226,2
0.004106978,0.016459795,0.9794333,2
0.08850666,0.12906747,0.7824258,2
0.27628568,0.45065236,0.27306193,1
0.3981858,0.5109142,0.09090005,0
0.99103725,0.008452194,0.0005105559,0
0.009568831,0.011211978,0.97921914,2
0.998214,0.001267386,0.0005186541,0
0.07061566,0.061271206,0.8681131,2
0.95657784,0.04122936,0.002192815,0
0.0139129525,0.047936637,0.9381504,2
0.013149527,0.00927694,0.9775735,0
0.010040653,0.045926332,0.9440331,2
0.94921833,0.04272116,0.008060468,0
0.96437097,0.024882842,0.010746143,0
0.94687444,0.047994986,0.0051305746,0
0.8509244,0.07484839,0.07422727,0
0.33164743,0.47878549,0.1895671,2
0.03452764,0.052101307,0.913371,2
0.043838304,0.15467483,0.80148685,1
0.035899173,0.16024582,0.803855,2
0.2358378,0.6597096,0.10445263,1
0.008663141,0.12762046,0.8637164,1
0.23597604,0.66862935,0.09539458,1
0.2368159,0.30664533,0.45653874,0
0.03316028,0.09490352,0.8719362,2
